hasil_stemming,dominant_emotion
"['asal', 'kaburajadulu']",anger
"['semua', 'toxic', 'iya', 'harap', 'gula', 'kaburajadulu', 'ketawa']",anger
"['duh', 'kamu', 'bianura', 'telah', 'fokus', 'belajar', 'thailand', 'iya', 'kamu', 'karir', 'thailand', 'jangan', 'sini', 'mohon', 'kaburajadulu']",anger
"['negara', 'batas', 'gera', 'warga', 'kamboja', 'kita', 'malah', 'memperomosikan', 'kaburajadulu', 'kamboja', 'mana', 'poipet', 'pulak']",sadness
"['unik', 'orang', 'mah', 'kaburajadulu', 'buat', 'lari', 'diri', 'indonesia', 'malah', 'kabur', 'indonesia', 'bagus', 'untung', 'kids']",trust
"['maksud', 'suruh', 'pindah', 'gitu', 'iya', 'kaburajadulu', 'tidak', 'dibagiin', 'seluruh', 'warga', 'iya']",trust
"['sudah', 'rasa', 'kaburajadulu']",anger
"['jangan', 'kita', 'belum', 'kaburajadulu']",anger
"['marak', 'phk', 'mana', 'mana', 'cari', 'kerja', 'susah', 'bbm', 'oplos', 'pajak', 'besar', 'tidak', 'jelas', 'guna', 'kaburajadulu', 'httpstcocyidasarhz']",sadness
"['bian', 'mending', 'krung', 'thep', 'lebih baik', 'indonesia', 'tetap', 'jadi', 'phattalung', 'boy', 'kaburajadulu']",fear
"['dok', 'dokter', 'gigi', 'bukan', 'cuma', 'aku', 'tahu', 'pasti', 'bagaimana', 'berat', 'buat', 'nyandang', 'title', 'ituu', 'semangat', 'terus', 'iya', 'dok', 'bisa', 'bisa', 'buat', 'kaburajadulu']",trust
"['ingin', 'kaburajadulu', 'vietnam', 'dik']",sadness
"['ingin', 'kaburajadulu', 'rumah', 'stress', 'anj', 'tinggal', 'bareng', 'ortu', 'denial', 'kemarin', 'lantang', 'nolak', 'ruutni', 'tidak', 'henti', 'keras', 'aparat', 'malah', 'dikatain', 'bodoh', 'iya', 'mahasiswa', 'masuk', 'aku', 'dikatain', 'bodoh', 'bilang', 'tidak', 'baca', 'cuma', 'bisa', 'cari', 'ribut', 'demo']",anger
"['jawir', 'batas', 'iq', 'memang', 'la', 'tidak', 'faham', 'sdm', 'rendah', 'rupiah', 'jatuh', 'kaburajadulu', 'malaysia', 'belum', 'sempat', 'apa', 'apa', 'sudah', 'kena', 'tangkap', 'httpstcosnegsqrh']",sadness
"['tempo', 'telah', 'klean', 'dukung', 'kaburajadulu', 'neh', 'ingin', 'as', 'jepang', 'jerman', 'norwegia', 'denmark', 'semua', 'punya', 'masalah', 'sendiri', 'indonesia', 'masalah', 'cuma', 'ubah', 'perintah', 'baik', 'sdm', 'lebih', 'mah', 'kita', 'mantep', 'kemarin', 'ada', 'post', 'luar negeri', 'pajak', 'rasa']",sadness
"['saat', 'kaburajadulu']",anger
"['ayok', 'sangat', 'gass', 'kaburajadulu']",disgust
"['rontoto', 'mending', 'kaburajadulu', 'bakal', 'tetap', 'dihantuin', 'jga']",fear
"['lord', 'ingin', 'kaburajadulu', 'deym', 'nyata', 'politik', 'indonesia', 'pengaruh', 'hingga', 'ml']",anger
"['terima', 'kasih', 'regine', 'jadi', 'makin', 'semangat', 'buat', 'kaburajadulu', 'ortu', 'sudah', 'tidak', 'adek', 'sudah', 'settle', 'sama', 'kerja', 'now', 'giliran', 'kabur', 'tidak', 'bayang', 'trauma', 'tiap', 'rumah', 'tidak', 'jebak', 'atur', 'aneh', 'pemrenta']",trust
"['ingat', 'sekarang', 'ingin', 'apa', 'rumah', 'pik', 'mobil', 'ferari', 'deposito', 'juta', 'rp', 'kaburajadulu']",sadness
"['terbang', 'bisa', 'kaburajadulu', 'jepang', 'rumit', 'urus', 'visa', 'paspor', 'payah', 'tidak', 'brguna']",sadness
"['tok', 'sedang', 'kaburajadulu']",trust
"['hasil', 'kaburajadulu', 'httpstcoz', 'lcb', 'fakj']",anticipation
"['mending', 'kaburajadulu', 'jadi', 'aupair', 'ngerawat', 'anak', 'minimal', 'umur', 'tahun', 'bayi', 'gaboleh', 'kerja', 'jam', 'hari', 'sabtu', 'minggu', 'libur', 'cuti', 'minggu', 'tahun', 'bayar', 'include', 'makan', 'kamar', 'proper', 'ada', 'tentu', 'luas', 'kamar', 'lesin', 'bahasa', 'gaji', 'minimal', 'rp', 'jtbln', 'nett']",anticipation
"['iya', 'sudah', 'sana', 'bubar', 'kayak', 'kamu', 'bakal', 'sanggup', 'kaburajadulu']",anger
"['ih', 'seru', 'neng', 'bisa', 'bikin', 'orang', 'semangat', 'ayoo', 'kita', 'usaha', 'kaburajadulu', 'httpstcoxtzznewwjq']",anticipation
"['bukan', 'bagi', 'kaburajadulu', 'kaan']",anger
"['golong', 'ituitu', 'sudah', 'pelanpelan', 'kaburajadulu', 'beli', 'properti', 'luar', 'negeri', 'ketawa']",anger
"['mungkin', 'beliau', 'sudah', 'kaburajadulu', 'makanya', 'bisa', 'bikin', 'op', 'witch', 'watch']",anger
"['mumpung', 'kaburajadulu', 'trending']",anger
"['siap', 'kaburajadulu', 'iya']",anticipation
"['bentuk', 'manifesting', 'kaburajadulu', 'mulai', 'dikatain', 'antek', 'asing']",disgust
"['nyata', 'kaburajadulu', 'terap', 'sama', 'warga', 'jepang']",trust
"['sergap', 'headshot', 'sg', 'modalkorupsi', 'kaburajadulu', 'lq', 'ipjei']",anger
"['hahahaha', 'astaga', 'tibatiba', 'teteh', 'nawarin', 'buat', 'kaburajadulu', 'jepang', 'kata', 'dia', 'dia', 'modalin', 'semua', 'soal', 'ponakan', 'cowok', 'rencana', 'ingin', 'kuliahin', 'kerja', 'jepang', 'misal', 'ada', 'jadi', 'teteh', 'sudah', 'ngerasa', 'aman', 'buat', 'lepas', 'ponakan', 'ada', 'sana']",trust
"['tolol', 'perintah', 'tahu', 'tidak', 'kualitas', 'islop', 'sini', 'kaya', 'bagaimana', 'perintah', 'tolol', 'tololl', 'tololl', 'dzolim', 'kamu', 'semua', 'semoga', 'rakyat', 'indonesia', 'baik', 'baik', 'ingin', 'kaburajadulu', 'sampean', 'kawalrkuhp', 'supremasisipil', 'tolakruukejaksaan']",anticipation
"['kaburajadulu', 'versi', 'kamboja', 'indonesia', 'gelap']",sadness
"['propaganda', 'indonesia', 'kaburajadulu']",anger
"['arti', 'kaburajadulu', 'jangan', 'jepang']",anger
"['semua', 'jualin', 'baju', 'makeup', 'tidak', 'rasa', 'salah', 'bentar', 'ingin', 'pergi', 'indonesia', 'gaakan', 'rasa', 'salah', 'sama', 'over', 'consumptionn', 'lama', 'tahun', 'kaburajadulu']",sadness
"['lord', 'kaburajadulu']",anger
"['jangan', 'jerman', 'ingin', 'kaya', 'raya', 'kerjakejerman', 'kaburajadulu', 'tzurwdi']",sadness
"['seru', 'sangat', 'oa', 'kaburajadulu', 'httpstcoj', 'vv', 'gi', 'tau']",joy
"['sekarang', 'ngerti', 'mengapa', 'seungkwan', 'ngefans', 'sama', 'megassi', 'memang', 'bagus', 'doi', 'herman', 'talenta', 'setalent', 'sia', 'siain', 'doi', 'beneran', 'praktik', 'baik', 'sukses', 'kaburajadulu']",joy
"['isi', 'lengkap', 'buat', 'kaburajadulu', 'tidak']",trust
"['apa', 'dapat', 'fenomena', 'kaburajadulu']",anger
"['banyak', 'wni', 'bangga', 'bisa', 'kaburajadulu', 'sana', 'padahal', 'bayar', 'pajak', 'jelas', 'digunain', 'bunuh', 'manusia']",joy
"['detik', 'warga', 'amerika', 'bikin', 'gera', 'kaburajadulu']",anger
"['apa', 'tidak', 'ikut', 'utbk', 'langsung', 'kaburajadulu']",anticipation
"['positif', 'ada', 'mungkin', 'bujuk', 'dia', 'buat', 'registrasi', 'tidak', 'ngedukung', 'dia', 'buat', 'kaburajadulu']",anger
"['mana', 'dukung', 'gera', 'kaburajadulu']",anger
"['inimah', 'kaburajadulu', 'bulan', 'mei', 'ketawa']",anger
"['salah', 'alternatif', 'kaburajadulu']",anger
"['kaburajadulu', 'ketawa']",anger
"['aku', 'ingin', 'tanya', 'soal', 'kuliah', 'hungary', 'latvia', 'china', 'dm', 'aku', 'iya', 'sedang', 'kuliah', 'disanasdh', 'lulus', 'especially', 'live', 'biaya', 'already', 'lamar', 'uni', 'kaburajadulu', 'studytwt', 'kuliahluarnegeri', 'ambisverse', 'collage', 'studyabroad', 'undergraduate', 'bachelordegree']",anger
"['kabur', 'bohir', 'bandar', 'baik', 'lokal', 'aseng', 'cuma', 'bisa', 'bengong', 'ritel', 'bohir', 'bandar', 'kaburajadulu', 'blum', 'cermin', 'fundamental', 'emiten', 'harus', 'diliyat', 'kondisi', 'bisnis', 'uang', 'satu']",trust
"['tweet', 'kaburajadulu', 'kita', 'belajar', 'bab']",anger
"['halo', 'sebut', 'visa', 'kerja', 'negara', 'eropaamerika', 'paling', 'affordable', 'buat', 'kaburajadulu']",anger
"['semangat', 'iya', 'cari', 'kaburajadulu', 'jangan', 'lupa', 'pulang']",anger
"['ketawa', 'malang', 'dulu', 'ingin', 'ikut', 'tagar', 'kaburajadulu']",sadness
"['iseng', 'bikin', 'story', 'foto', 'bandara', 'guna', 'tagar', 'kaburajadulu', 'beneran', 'ngira', 'cabut', 'ngakak', 'padahal', 'nganterin', 'iya', 'aamiin', 'tidak', 'ketawa']",anger
"['teman', 'bokap', 'beda', 'iya', 'ketawa', 'ditanyain', 'kamu', 'tidak', 'kaburajadulu', 'keluar', 'negeri', 'cari', 'kerja', 'luar', 'makasih', 'aku', 'anggap', 'dukung']",disgust
"['kaburajadulu', 'engagement', 'masih', 'orang', 'sini', 'pantes', 'nyaman']",anger
"['aneh', 'sangat', 'isi', 'malah', 'perangkat', 'alat', 'travel', 'kita', 'memang', 'pasti', 'suruh', 'kaburajadulu', 'apa', 'bagaimana']",joy
"['tidak', 'lucu', 'makin', 'bikin', 'ingin', 'kaburajadulu', 'politis', 'kaya', 'gitu', 'sudah', 'terus', 'banyak', 'tuju', 'ketawa', 'this', 'negara', 'is', 'beyond', 'help']",disgust
"['cocok', 'ikut', 'trend', 'kaburajadulu']",anger
"['mengapa', 'wni']",neutral
"['jadi', 'ingin', 'kaburajadulu', 'negara', 'tidak', 'banyak', 'gimmick', 'hariharian']",sadness
"['jadi', 'ingin', 'kaburajadulu', 'negara', 'orang', 'sipil', 'tidak', 'doyan', 'cosplay', 'aparattentara']",sadness
"['orang', 'indonesia', 'guna', 'seragam', 'jadi', 'amerika', 'army', 'mungkin', 'masuk', 'kaburajadulu', 'bwtcm', 'fmh']",anger
"['lucu', 'sangat', 'lord', 'kaburajadulu']",disgust
"['channel', 'youtube', 'bahasa', 'asing', 'belajar', 'bahasa', 'asing', 'tidak', 'perlu', 'bayar', 'mahal', 'bisa', 'lewat', 'channel', 'youtube', 'bestie', 'bisa', 'jadi', 'modal', 'buat', 'ingin', 'kaburajadulu', 'ada', 'channel', 'favorit', 'tidak', 'httpstcot', 'bmu']",disgust
"['sudah', 'saat', 'kaburajadulu', 'mat']",anger
"['dapet', 'hasil', 'tambah', 'modal', 'maen', 'lumayan', 'buat', 'jajan', 'bulan', 'iya', 'tutor', 'sini', 'rbtstvoid', 'lacasadelosfamososcol', 'stockmarketcrash', 'investasisaham', 'freelance', 'kaburajadulu', 'yppjsjxn']",anticipation
"['mokad', 'terus', 'isekaid', 'sni', 'mydei', 'lamar', 'aku', 'telah', 'aku', 'bawa', 'hesteg', 'kaburajadulu', 'yunani', 'tinggal', 'bahagia', 'lama', 'sana']",joy
"['jangan', 'sedih', 'sekarang', 'ada', 'goto', 'jumbo', 'pagi', 'antony', 'grok', 'viralindo', 'vcsbugill', 'kaburajadulu', 'indonesiagelap', 'httpstcomhnl', 'mxvht']",anger
"['sibuk', 'belajar', 'bisa', 'kaburajadulu']",anger
"['benar', 'mas', 'indonesia', 'sedang', 'tidak', 'baik', 'indonesiagelap', 'kaburajadulu', 'krisismoneterjilid', 'httpstcoifqpjywu']",trust
"['athan', 'timteng', 'iya', 'tuhan', 'kaburajadulu', 'tidak', 'ingin', 'indonesia', 'etapi', 'suka', 'suruh', 'nyerpis', 'pejabrut', 'serta', 'keluarga', 'besar', 'tidak', 'kenal', 'episiensi', 'iya']",anticipation
"['kira', 'sudah', 'ketemu', 'bule', 'selalu', 'kaburajadulu']",trust
"['beneran', 'kaburajadulu', 'mbak', 'sylvi']",anger
"['wiihh', 'kaburajadulu']",anger
"['presiden', 'sudah', 'nyuruh', 'kaburajadulu', 'lewat', 'hampers', 'tema', 'traveling', 'ketawa', 'bentr', 'kenapa', 'bawa', 'embel', 'istana', 'negara', 'guna', 'uang', 'rakyat', 'nama', 'pribadi', 'dongg', 'ketawa']",trust
"['hari', 'land', 'buat', 'ku', 'sadar', 'nyata', 'kaburajadulu', 'tarik', 'buat', 'coba', 'mlukjyc']",trust
"['betuull', 'dia', 'sudah', 'hasil', 'kaburajadulu', 'tinggal', 'minta', 'dia', 'angkut', 'kita', 'kita', 'bisa', 'ikut', 'kabur']",anticipation
"['senyum', 'meski', 'sedang', 'banyak', 'masalah', 'vidoebucin', 'kaburajadulu', 'httpstcoio', 'mvob']",trust
"['apakah', 'ikut', 'kaburajadulu', 'jadi', 'solusi', 'baik']",anticipation
"['putus', 'resign', 'telah', 'tahun', 'rantau', 'rumah', 'ortu', 'birrul', 'walidain', 'kadang', 'remedial', 'caregiver', 'aint', 'easy', 'sering', 'sakit', 'ikhtiar', 'cari', 'jodoh', 'alhamdulillah', 'tahun', 'tengah', 'cuma', 'rumah', 'ortu', 'doa', 'ortu', 'kayak', 'lanjut', 'kaburajadulu', 'bareng', 'suami']",trust
"['ingin', 'nyusul', 'kaburajadulu', 'baru', 'lulus', 'aka', 'anggur', 'birojomblo', 'httpstcopu', 'uz', 'dalm']",sadness
"['ngasih', 'koper', 'kayak', 'nyuruh', 'buat', 'kaburajadulu']",anger
"['rekomendasi', 'komunitas', 'internasional', 'bidang', 'geofisika', 'oseanografi', 'meteorologi', 'geosains', 'thread', 'beasiswaluarnegeri', 'funding', 'internships', 'postdoc', 'lowonganpekerjaan', 'seminar', 'lokakarya', 'kaburajadulu']",anger
"['asean', 'semoga', 'trending', 'southeastasia', 'bakarsampah', 'kaburajadulu', 'indonesiagelap', 'airpollution', 'am', 'polusi', 'udara', 'kini', 'jakarta', 'httpstcos', 'wpqfhdcm']",anticipation
"['gatau', 'mengapa', 'rasa', 'nyata', 'banyak', 'postingan', 'cerita', 'sisi', 'buruk', 'tinggal', 'negara', 'telah', 'tagar', 'kaburajadulu', 'jadi', 'iya']",anger
"['ieu', 'jiga', 'kaburajadulu', 'padahal', 'depok']",anger
"['mengapa', 'tag', 'kaburajadulu', 'sempet', 'indonesia']",anger
"['ketawa', 'nak', 'sekarang', 'berani', 'kaburajadulu', 'uk']",anticipation
"['menteri', 'dukung', 'kaburajadulu']",anger
"['kamboja', 'bukan', 'kaburajadulu', 'matiajadulu']",anger
"['rakyat', 'larang', 'kaburajadulu', 'pimpin', 'negara', 'malah', 'kasih', 'uang', 'negara', 'tetangga']",anticipation
"['biasa', 'interview', 'masih', 'guna', 'mindset', 'juniormedior', 'jadi', 'kemarin', 'interview', 'buat', 'kaburajadulu', 'gagal', 'tahap', 'harus', 'paling', 'mudah', 'hr', 'interview', 'sadar', 'banyak', 'ngomong', 'want', 'learn', 'padahal', 'lamar', 'role', 'senior']",trust
"['jujur', 'ngeliat', 'begini', 'sudah', 'muak', 'sangat', 'sudah', 'capek', 'sangat', 'dengar', 'omon', 'mending', 'persiapin', 'ielts', 'siap', 'buat', 'pindah', 'kaburajadulu']",fear
"['bagaimana', 'telah', 'kesini', 'sekali', 'bawa', 'aku', 'kaburajadulu']",anger
"['bagaimana', 'masih', 'ingin', 'seru', 'tagar', 'kaburajadulu', 'mending', 'pikirajadulu']",anticipation
"['kata', 'bapak', 'tidak', 'lolos', 'jepang', 'astaga', 'yaudahlah', 'arti', 'belio', 'restu', 'kaburajadulu']",trust
"['damn', 'justru', 'jadi', 'timbang', 'kaburajadulu', 'sini', 'minyak', 'goreng', 'banyak', 'sunflower', 'oil', 'linoleic', 'acid', 'hampir', 'tidak', 'pernah', 'ketemu', 'minyak', 'kelapa', 'sawit', 'linoleic', 'acid']",anger
"['duh', 'sabar', 'iya', 'sobat', 'aku', 'tahu', 'kamu', 'hebat', 'ku', 'selalu', 'jauh', 'mu', 'dunia', 'jahat', 'buruk', 'bisa', 'ada', 'warga', 'buruk', 'sangat', 'mending', 'kabur', 'gasih', 'sobat', 'kaburajadulu']",fear
"['curhat', 'edisi', 'lebaran', 'telah', 'keliling', 'bagai', 'rumah', 'jadi', 'far', 'jadi', 'bagus', 'tidak', 'benar', 'benar', 'tanya', 'mengapa', 'aku', 'ingin', 'kaburajadulu', 'jepang', 'kadang', 'mama', 'suka', 'nyeletuk', 'kuinget', 'terus', 'celetuk', 'iya', 'gatau', 'anak', 'sebenernya', 'cari', 'kerja', 'indonesia']",anticipation
"['makanya', 'buat', 'nyarain', 'kaburajadulu', 'malaysia', 'agak', 'heran', 'sana', 'orang', 'nyanyi', 'lagu', 'buruh', 'tani', 'lirik', 'ganti', 'malaysia', 'baru', 'onar', 'bukan', 'orba']",joy
"['cari', 'pacar', 'negara', 'bisa', 'ikut', 'kaburajadulu']",anger
"['ngumpulin', 'uang', 'buat', 'kaburajadulu']",anger
"['indonesia', 'punya', 'banyak', 'masalah', 'negara', 'besar', 'warga', 'dorang', 'cabut', 'lari', 'ramai', 'ramai', 'adik', 'jugak', 'waladon', 'tidak', 'puas', 'hati', 'malaysia', 'buat', 'animasi', 'kancil', 'kaburajadulu']",joy
"['benar', 'kaburajadulu', 'memang']",anger
"['dm', 'dm', 'krna', 'dm', 'ku', 'sepi', 'mcem', 'kubur', 'topik', 'ajaa', 'kaburajadulu']",anger
"['gila', 'nyenyak', 'benar', 'telah', 'jaga', 'bumi', 'viralvideos', 'videolucu', 'lucu', 'kaburajadulu', 'httpstcoeii', 'khtmu']",disgust
"['trimakasi', 'atas', 'motivasi', 'usaha', 'kaburajadulu']",anticipation
"['asik', 'starting', 'kaburajadulu', 'semoga', 'sakses', 'say']",anticipation
"['iya', 'makanya', 'asa', 'gua', 'indonesiagelap', 'kaburajadulu', 'bakal', 'sama']",trust
"['rmang', 'inimah', 'ajdi', 'tidak', 'kaburajadulu', 'aku', 'tetap', 'resign']",disgust
"['iya', 'iya', 'zaman', 'sekarang', 'lebih', 'tarik', 'luar', 'negeri', 'soal', 'kaburajadulu']",anger
"['makasihh', 'habis', 'ikut', 'kaburajadulu']",anger
"['isi', 'kaya', 'kit', 'buat', 'kaburajadulu']",joy
"['dukung', 'omke', 'gams', 'omke', 'gams', 'elo', 'malah', 'kaburajadulu', 'singapore', 'tidak', 'rimvsek', 'sangat', 'kamu', 'fufufafa', 'httpstcochebi', 'dmd']",disgust
"['sumpah', 'lucu', 'sangat', 'iseng', 'tweet', 'ingin', 'pnya', 'pasang', 'pro', 'kaburajadulu', 'jp', 'akun', 'personal', 'malah', 'dijapri', 'mutual', 'sendiri', 'dm', 'astaga', 'kata', 'ayok', 'ayok', 'kaget', 'sama', 'komedi', 'sangat']",trust
"['think', 'about', 'it', 'kemarin', 'bbc', 'tepat', 'wawancara', 'orang', 'kaburajadulu', 'salah', 'satu', 'ngomong', 'dia', 'tidak', 'may', 'mati', 'orang', 'indonesia', 'kayak', 'kesan', 'malu', 'kulit', 'sendiri', 'nyata', 'dia', 'sudah', 'keluar', 'tahun', 'bom', 'ekonomi', 'sekarang', 'merosot', 'inti', 'anti', 'gorvnmt', 'excuse']",fear
"['maaf', 'oot', 'mas', 'mending', 'kaburajadulu', 'jepang', 'aussie', 'bgg', 'negara']",anger
"['bolehh', 'sangat', 'kbtulan', 'turut', 'aktif', 'mmbantu', 'informasi', 'ingin', 'kaburajadulu', 'versi', 'jerman']",sadness
"['minta', 'daniel', 'modalin', 'kita', 'kaburajadulu', 'mohon']",anger
"['kaburajadulu', 'baik', 'negara', 'mana']",anticipation
"['dulu', 'mainin', 'dukung', 'kaburajadulu', 'sudah', 'berapa', 'banyak', 'kabur', 'jangan', 'cuma', 'malumaluin', 'tidak', 'kabur']",trust
"['pamar', 'ntah', 'maksimal', 'ngadukung', 'kaburajadulu', 'dampakna', 'ka', 'tanaga', 'kerja', 'jeung', 'konomi', 'bisa', 'jadi', 'uang', 'jeung', 'cilaka', 'tanaga', 'kerja', 'bumi', 'bakal', 'ngurangan', 'bisa', 'nyababkeun', 'kakurangan', 'buruh', 'jeung', 'brain', 'drain', 'lamun', 'nu', 'pintar', 'kabur', 'uang', 'kirim', 'ti', 'luar', 'bisa', 'ngabantu', 'httpstcotxrkrp']",trust
"['apa', 'jadi', 'kaburajadulu', 'fasilitas', 'perintah', 'maksimal', 'apa', 'dampak', 'ketenagakerjaan', 'ekonomi', 'jelas', 'pakai', 'bahasa', 'sunda']",trust
"['sudah', 'tidak', 'guna', 'poto', 'cari', 'cab', 'jerman', 'ingin', 'bwa', 'indonesia', 'ingin', 'ikut', 'lnjut', 'hdup', 'jerman', 'iya', 'hayuk', 'sama', 'kaburajadulu', 'guru', 'tk', 'nih', 'jangan', 'uji', 'sabar', 'luas', 'apa', 'penting', 'tidak', 'okok']",trust
"['hedeeuu', 'bokem', 'lawan', 'banged', 'malah', 'duluan', 'praktekin', 'hesteg', 'kaburajadulu']",anger
"['kaburajadulu', 'baru', 'bisa', 'bandung', 'soon', 'kita', 'guna', 'passport', 'iya', 'httpstcowbmsjtvc']",anger
"['bentar', 'iya', 'masih', 'ngetranslate', 'aku', 'rasa', 'kayak', 'tes', 'jerman', 'siap', 'ikut', 'kamu', 'kaburajadulu']",anticipation
"['laki', 'mengapa', 'tidak', 'ingin', 'kaburajadulu', 'kesal', 'tinggal', 'negara', 'tidak jelas']",sadness
"['senang', 'nyata', 'spreadsheetku', 'sama', 'tementemenku', 'bisa', 'bantu', 'orangorang', 'buat', 'kejar', 'kaburajadulu']",trust
"['first', 'post', 'on', 'indonesia', 'saat', 'trend', 'kaburajadulu', 'putus', 'belajar', 'bahasa', 'jepang', 'siapa', 'tahu', 'bisa', 'guna', 'telah', 'lulus', 'kuliah', 'pengin', 'jepang', 'ketawa', 'aamiin', 'hari', 'dua', 'belajar', 'otodidak', 'lewat', 'buku', 'minna', 'no', 'nihongo', 'dsini', 'ada', 'sama', 'tidak', 'httpstcowneseu', 'yhe']",trust
"['hmpir', 'apa', 'hemat', 'saat', 'mampir', 'gramed', 'tidakk', 'bisaa', 'buku', 'kaburajadulu', 'maxhavelaar', 'httpstcodsuqfucl']",anger
"['ayok', 'ingin', 'kaburajadulu', 'sekarang', 'bisa', 'ikut', 'kelas', 'private', 'ielts', 'harga', 'bisa', 'cicil', 'dm', 'more', 'questions', 'zonauang', 'ielts', 'lesinggris', 'toefl', 'tukar', 'httpstcort', 'uabroh']",trust
"['buat', 'malaysia', 'bismillah', 'ayok', 'bisa', 'ayok', 'kita', 'bikin', 'paspor', 'bulan', 'terus', 'september', 'malaysia', 'huaa', 'takbir', 'kaburajadulu']",trust
"['sekal', 'kaburajadulu', 'httpstcoo', 'nfuz', 'xcm']",anger
"['masih', 'kaburajadulu']",anger
"['ngumpulin', 'botol', 'bekas', 'kaburajadulu']",anger
"['apakah', 'sudah', 'saat', 'serius', 'kaburajadulu']",anger
"['tidak', 'apaapa', 'kita', 'kaburajadulu']",anger
"['ges', 'ingin', 'tanya', 'malu', 'ngereply', 'ngetuk', 'dm', 'tanya', 'sini', 'httpstcofajh', 'fnlvs', 'aku', 'dukung', 'kelen', 'ingin', 'kaburajadulu']",sadness
"['prepare', 'buat', 'kaburajadulu']",anger
"['eoh', 'mengapa', 'kaburajadulunya', 'sebentar', 'sangat', 'betah', 'iya', 'tinggal', 'indonesia']",disgust
"['dia', 'kaburajadulu']",anger
"['masup', 'tivi', 'jalur', 'kaburajadulu', 'tepat', 'samping', 'logo', 'rcti', 'sangat', 'httpstcoc', 'niafifzd']",joy
"['congok', 'haruse', 'kaburajadulu']",anger
"['kita', 've', 'all', 'learned', 'enough', 'now', 'say', 'iya', 'tidak', 'ngelewatin', 'batas', 'iya', 'sudah', 'bisa', 'lihat', 'sisi', 'baik', 'aku', 'dapet', 'banyak', 'saran', 'baik', 'buat', 'kaburajadulu', 'doa', 'sama', 'tante', 'pakde', 'bude', 'ku', 'grateful']",trust
"['ingin', 'pakai', 'kaburajadulu']",sadness
"['mulai', 'kaburajadulu', 'belajar', 'bahasa', 'jepang']",anger
"['citacitaku', 'waktu', 'kecil', 'jadi', 'ilmuwanpunya', 'gelar', 'profesor', 'lmao', 'tidak tahu', 'can', 'buat', 'it', 'happen', 'not', 'until', 'now', 'am', 'still', 'really', 'interested', 'furthering', 'my', 'study', 'phd', 'iya', 'hamdalah', 'lebih', 'ingin', 'luar', 'though', 'kaburajadulu']",anticipation
"['ikut', 'senang', 'lihat', 'ada', 'hasil', 'kaburajadulu']",anticipation
"['tanam', 'budaya', 'sebrang', 'lebih', 'adaptif', 'saat', 'kaburajadulu']",anger
"['hehehe', 'sama', 'sama', 'salting', 'kita', 'aamiin', 'ingin', 'sangat', 'jodoh', 'sama', 'nctjenour', 'kece', 'ntuh', 'apakah', 'kita', 'ikut', 'trend', 'kaburajadulu']",trust
"['ahelah', 'kata', 'ingin', 'kaburajadulu', 'malas', 'belajar', 'kayak', 'mana', 'belajar', 'giihh']",trust
"['baru', 'ingin', 'kaburajadulu']",sadness
"['waktu', 'mudik', 'desa', 'banyak', 'anak', 'muda', 'kaburajadulu', 'kerja', 'luar negeri', 'kaya', 'hk', 'taiwan', 'korea', 'iya', 'tuhan', 'ingin', 'kerja', 'luar negeri']",anticipation
"['sakit', 'lihat', 'orang', 'orang', 'hasil', 'kaburajadulu']",anger
"['dia', 'tahu', 'suatu', 'saat', 'gibran', 'bakal', 'mimpin', 'indonesia', 'jadi', 'dia', 'milih', 'kaburajadulu', 'akhirat', 'duluan', 'tidak', 'emosi', 'tiap', 'hari', 'baca', 'berita', 'buruk']",anger
"['teman', 'teman', 'beneran', 'kaburajadulu', 'tidak bisa', 'ikut']",joy
"['bisa', 'urus', 'anak', 'laki', 'diajarin', 'kerja', 'rumah', 'urus', 'anak', 'kehandle', 'cari', 'uang', 'tetap', 'jalan', 'habis', 'marah', 'bakal', 'minta', 'maaf', 'didik', 'karir', 'anak', 'nomor', 'tidak', 'suruh', 'cepat', 'kawin', 'tidak', 'perlu', 'dukung', 'buat', 'kaburajadulu']",joy
"['beberapa', 'ripiuw', 'seperti', 'denmark', 'memang', 'recomended', 'hidup', 'nyaman', 'bebas', 'kaburajadulu']",joy
"['iya', 'makanya', 'kaburajadulu', 'cr', 'waras']",anger
"['oke', 'ghosting', 'gagal', 'kaburajadulu']",sadness
"['unfortunately', 'jadi', 'tepat', 'ingin', 'kaburajadulu', 'waktu', 'atur', 'dokumen', 'buat', 'visa', 'kerja', 'tanya', 'ijazah', 'perlu', 'tara', 'kampus', 'recognize', 'iya', 'kampus', 'top']",anticipation
"['iya', 'kutub', 'utara', 'tidak', 'apaapa', 'asal', 'kaburajadulu']",anger
"['belajar', 'dulu', 'buat', 'modal', 'kaburajadulu', 'siapa', 'tahu', 'bisa', 'ketemu', 'janken', 'httpstcogwrrkmpgeb']",anger
"['jangan', 'jir', 'jangan', 'sayang', 'talentnya', 'sana', 'mbaa', 'berkarir', 'sana', 'kaburajadulu']",anticipation
"['kaburajadulu', 'iya', 'ketawa']",anger
"['tepat', 'kumpul', 'keluarga', 'ibu', 'kemarin', 'bahas', 'childfree', 'diet', 'makan', 'apel', 'tiap', 'hari', 'sama', 'kaburajadulu']",anticipation
"['kaburajadulu', 'nippon']",anger
"['alhamdulillah', 'bagus', 'presiden', 'kita', 'lihat', 'mggu', 'dpn', 'apa', 'tjd', 'nilai', 'tukar', 'rp', 'kaburajadulu']",joy
